,path_or_url,file,line,text
143,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/opentelemetry-collector.yaml,255,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
144,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,30,apiVersion: apps/v1
146,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,145,apiVersion: networking.istio.io/v1beta1
148,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,177,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.checkoutService.name }}
149,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,177,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.checkoutService.name }}
151,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,179,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
152,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,184,- /hipstershop.EmailService/SendOrderConfirmation
153,/SendOrderConfirmation,/mnt/data/service-shop/service-Shop/helm-chart/templates/emailservice.yaml,184,- /hipstershop.EmailService/SendOrderConfirmation
154,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,30,apiVersion: apps/v1
156,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,154,apiVersion: networking.istio.io/v1beta1
158,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,192,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
159,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,192,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
161,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,194,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
162,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,199,- /hipstershop.CheckoutService/PlaceOrder
163,/PlaceOrder,/mnt/data/service-shop/service-Shop/helm-chart/templates/checkoutservice.yaml,199,- /hipstershop.CheckoutService/PlaceOrder
164,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,30,apiVersion: apps/v1
166,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,147,apiVersion: networking.istio.io/v1beta1
168,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,180,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
169,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,180,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.frontend.name }}
171,/sa/default,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,182,- cluster.local/ns/{{ .Release.Namespace }}/sa/default
172,/hipstershop,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,187,- /hipstershop.RecommendationService/ListRecommendations
173,/ListRecommendations,/mnt/data/service-shop/service-Shop/helm-chart/templates/recommendationservice.yaml,187,- /hipstershop.RecommendationService/ListRecommendations
174,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/common.yaml,16,apiVersion: networking.k8s.io/v1
175,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/common.yaml,29,apiVersion: security.istio.io/v1beta1
176,/v1,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,30,apiVersion: apps/v1
177,/rewriteAppHTTPProbers,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,46,"sidecar.istio.io/rewriteAppHTTPProbers: ""true"""
178,/_healthz,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,79,"path: ""/_healthz"""
181,/metadata,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,192,kubernetes.io/metadata.name: {{ .Values.frontend.virtualService.gateway.namespace }}
182,/v1beta1,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,206,apiVersion: networking.istio.io/v1beta1
184,/ns/,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,248,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.loadGenerator.name }}
185,/sa/,/mnt/data/service-shop/service-Shop/helm-chart/templates/frontend.yaml,248,- cluster.local/ns/{{ .Release.Namespace }}/sa/{{ .Values.loadGenerator.name }}
